the (transport) Shild|das (verkehrs) Shild
the evening|der Abend
the dinner|das Abendessen
the superstition|der Aberglaube
the exit|die Abfahrt
the waste|der Abfall
the trash|der Abfalleimer
the departure|der Abflug
the dependence|die Abhängigkeit
the A-level|das Abitur
the abbreviation|die Abkürzung
the final whistle|der Abpfiff
the refusal|die Absage
the paragraph|der Absatz
the completion|der Abschluss
the section|der Abschnitt
the crash|der Absturz
the roller coaster|die Achterbahn
the nobility|der Adel
the similarity|die Ähnlichkeit
the accordion|das Akkordeon
the activity|die Aktivität
the accent|der Akzent
the album|das Album
the general education|die Allgemeinbildung
the nightmare|der Alptraum
the old building|der Altbau
the age|das Alter
the traffic light|die Ampel
the illiteracy|der Analphabetismus
the analysis|die Analyse
the pineapple|die Ananas
the souvenir|das Andenken
the beginning|der Anfang
the approach (landing)|die Anflug
the details|die Angabe
the offer|das Angebot
the employee|der Angestellte
the fear|die Angst
the prosecution|die Anklage
the arrival|die Ankunft
the plant|die Anlage
the anorak|der Anorak
the beginning|der Anpfiff
the salutation|die Anrede
the call|der Anruf
the answering machine (A.B.)|der Anrufbeantworter (A.B.)
the prestige|das Ansehen
the view|die Ansicht
the claim|der Anspruch
the impetus|der Anstoß
the antenna|die Antenne
the response|die Antwort
the application|die Anwendung
the display|die Anzeige
the suit (dress)|der Anzug
the apple|der Apfel
the orange|die Apfelsine
the pharmacy|die Apotheke
the apparatus|der Apparat
the Apricot|die Aprikose
april|der April
the work|die Arbeit
the employer|der Arbeitgeber
the worker|der Arbeitnehmer
the unemployment|die Arbeitslosigkeit
the working hours|die Arbeitszeit
the trouble|der Ärger
the arm|der Arm
the type|die Art
the article|die Artikel
the road|der Ast
the attention|die Aufmerksamkeit
the cuts|der Aufschnitt
the eye|das Auge
the eyebrow|die Augenbraue
the eyelid|das Augenlid
the corner of your eye|der Augenwinkel
august|der August
the training|die Ausbildung
the expression|der Ausdruck
the trip|der Ausflug
the information|die Auskunft
the exception|die Ausnahme
the excuse|die Ausrede
the pronunciation|die Aussprache
the exhibition|die Austellung
the car|das Auto
the highway|die Autobahn
the bumper cars|der Autoscooter
the ax|die Axt
the bakery|die Bäckerei
the bathrobe|der Bademantel
the bath|die Badewanne
the web|die Bahn
the station|der Bahnhof
the stretcher|die Bahre
the balcony|der Balkon
the ball|der Ball
the banana|die Banane
the Bank|die Bank
the base|die Basis
the construction|der Bau
the belly|der Bauch
the farm|das Bauernhof
the tree|der Baum
the site|die Baustelle
the cup|der Becher
the pool|der Becken
the need|das Bedürfnis
the beginning|der Beginn
the limiting|die Begrenzung
the treatment|die Behandlung
the leg|das Bein
the sample|das Beispiel
the convenience|die Bequemlichkeit
the counseling|die Beratung
the area|der Bereich
the mountain|der Berg
the reporting|die Berichterstattung
the profession|der Beruf
the employee|der Beschäftigte
the decision|der Bescheid
the broom|der Besen
the visit|die Besichtigung
the appointment|der Besichtigungtermin
the regulation|die Bestimmung
the concrete|der Beton
the concrete mixer|der Betonmischer
the emphasis|die Betonung
the subject|der Betreff
the operation|der Betrieb
the bed|das Bett
the bag|der Beutel
the population|die Bevölkerung
the movement|die Bewegung
the hosting|die Bewirtung
the payment|die Bezahlung
the relationship|die Beziehung
the bra|der BH (Büstenhalter)
the picture|das Bild
the screen|der Bildschirm
the formation|die Bildung
the bandage|die Binde
the inland waters|das Binnengewässer
the bulb|die Birne
the bladder|die Blase
the sheet|das Blatt
the view|der Blick
the flash|der Blitz
the block|der Block
the flower|die Blume
the flower shop|das Blumengeschäft
the flower shop|der Blumenladen
the blouse|die Bluse
the blood|das Blut
the blood pressure|der Blutdruck
the petal|das Blütenblatt
the goat|der Bock
the bottom|der Boden
the boat|das Boot
the boat trip|die Bootsfahrt
the stock market|die Börse
the Embassy|die Botschaft
the tabloid|die Boulevardzeitung
the Boutique|die Boutique
the box|die Box
the brand|der Brand
the roast|der Braten
the bride|die Braut
the groom|der Bräutigam
the board|das Brett
the pretzels|die Brezel(Brezen)
the glasses|die Brille
the blackberry|die Brombeere
the bread|das Brot
the bun|das Brötchen
the bridge|die Brücke
the brother|der Bruder
the chest|die Brust
the book|das Buch
the bookshop|die Buchhandlung
the iron|das Bügeleisen
the federal government|der Bund
the state|das Bundesland
the federal government|die Bundesregierung
the federal republic|die Bundesrepublik
the castle|die Burg
the office|das Büro
the brush|die Bürste
the bus|der Bus
the bus station|der Busbahnhof
the butter|die Butter
the cafè|das Cafè
the campsite|der Campingplatz
the Cdrom|die Cdrom
the Cdrom-Drive|das Cdromlaufwerk
the chaos|das Chaos
the cousin|der Cousin
the cousin|die Cousine
the cream|die Creme
the cursor|der Cursor
the roof|das Dach
the attic|der Dachboden
the sanitary napkin|die Damenbinde
the file|die Datei
the privacy|der Datenschutz
the date|das Datum
the international date line|die Datumgrenze
the thumb|der Daumen
the ceiling|die Decke
the cover|der Deckel
the dike|der Deich
the monument|das Denkmal
the deodorant|das Deo
the german course|der Deutschkurs
december|der Dezember
the hallway|die Diele
the service|der Dienst
tuesday|der Dienstag
the disco|die Disco
the floppy drive|das Diskettenlaufwerk
the cathedral|der Dom
the thunder|der Donner
thursday|der Donnerstag
the village|das Dorf
the can|die Dose
the drug|die Droge
the pressure|der Druck
the printer|der Drucker
the darkness|das Dunkel
the shower gel|das Duschgel
the marriage|die Ehe
the wife|die Ehefrau
the husband|der Ehemann
the married couple|das Ehepaar
the divorce|die Ehescheidung
the property (attribute)|die Eigenschaft
the bucket|der Eimer
the familiarization|die Einarbeitung
the learning curve|die Einarbeitungszeit
the impressions|die Eindrücke
the influence|der Einfluss
the entrance|der Eingang
the shopping spree|der Einkaufsbummel
the income|das Einkommen
the admission|der Einlass
the initiation|die Einleitung
the furnishing|die Einrichtung
the loneliness|die Einsamkeit
the setting|die Einstellung
the entry|der Eintritt
the inhabitants|der Einwohner
the ice|das Eis
the ice pack|der Eisbeutel
the ice cream parlor|die Eisdiele
the ice cube|der Eiswürfel
the elephant|der Elefant
the reception|der Empfang
the end|das Ende
the energy|die Energie
the angel|der Engel
the grandson|der Enkel | Enkelsohn
the granddaughter|die Enkelin | Enkeltochter
the grandchild|das Enkelkind
the memory|die Enrinnerung
the kidnappers|der Entführer
the abductees|der Entführte
the entrance|der Entritt
the apology|die Entschuldigung
the emergence|die Entstehung
the development|die Entwicklung
the withdrawal|die Entzug
the heritage|der Erbe
the strawberry|die Erdbeere
the earth|die Erde
the peanut|die Erdnuss
the petroleum|das Erdöl
the event|das Ereignis
the experience|die Erfahrung
the result|das Ergebnis
the common cold|die Erkältung
the permission|die Erlaubnis
the donkey|der Esel
the food|das Essen
the vinegar|der Essig
the fable|die Fabel
the tray|das Fach
the truss|das Fachwerk
the half-timbered house|das Fachwerkhaus
the thread|der Faden
the ability|die Fähigkeit
the bike|das Fahrrad
the ride|die Fahrt
the case|der Fall
the fold|die Falte
the family|die Familie
the fan|der Fan
the fantasy|die Fantasie
the facade|die Fassade
the rule of thumb|die Faustregel
february|der Februar 
the error|der Fehler
the file|die Feile
the enemy|der Feind
the field|das Feld
the window|das Fenster
the distance|die Ferne
the TV|der Fernseher
the wanderlust|das Fernweh
the fire|das Feuer
The firefighters|die Feuerwehr
the fever|das Fieber
finger|der Finger
the fly|die Fliege
